iter	Passed	Remaining
0	3	390
1	7	354
2	10	355
3	14	337
4	17	336
5	20	327
6	24	330
7	28	327
8	32	323
9	35	320
10	38	315
11	42	312
12	46	308
13	49	306
14	53	302
15	57	300
16	60	296
17	64	291
18	67	288
19	71	286
20	75	282
21	78	278
22	82	275
23	85	271
24	89	268
25	93	265
26	96	261
27	100	257
28	103	253
29	107	250
30	111	247
31	114	243
32	118	239
33	121	235
34	124	232
35	128	228
36	132	225
37	135	221
38	139	218
39	144	216
40	148	213
41	149	206
42	152	202
43	156	199
44	160	196
45	163	192
46	167	188
47	170	185
48	174	181
49	177	177
50	181	174
51	185	170
52	188	167
53	192	164
54	194	159
55	198	155
56	201	151
57	204	147
58	206	143
59	208	139
60	211	135
61	213	131
62	216	126
63	218	122
64	220	118
65	221	114
66	223	110
67	225	106
68	226	101
69	228	97
70	229	93
71	231	89
72	232	85
73	233	82
74	234	78
75	236	74
76	237	70
77	238	67
78	239	63
79	240	60
80	241	56
81	242	53
82	242	49
83	243	46
84	244	43
85	244	39
86	245	36
87	245	33
88	246	30
89	247	27
90	248	24
91	248	21
92	249	18
93	250	15
94	251	13
95	251	10
96	252	7
97	253	5
98	254	2
99	254	0
