iter	Passed	Remaining
0	150	150015
1	153	76717
2	157	52235
3	160	39865
4	163	32595
5	166	27643
6	170	24194
7	173	21562
8	177	19511
9	180	17864
10	184	16552
11	187	15427
12	190	14473
13	193	13652
14	197	12971
15	200	12349
16	204	11796
17	207	11310
18	210	10872
19	213	10473
20	216	10111
21	220	9794
22	223	9489
23	226	9208
24	229	8947
25	232	8708
26	235	8495
27	238	8281
28	241	8102
29	245	7928
30	248	7767
31	251	7606
32	254	7455
33	257	7321
34	260	7184
35	263	7065
36	266	6948
37	270	6847
38	273	6740
39	276	6637
40	280	6556
41	283	6473
42	287	6395
43	290	6315
44	293	6234
45	296	6156
46	300	6088
47	303	6015
48	307	5958
49	310	5894
50	313	5832
51	316	5772
52	320	5717
53	323	5663
54	326	5605
55	329	5561
56	332	5508
57	336	5464
58	339	5415
59	342	5372
60	347	5342
61	350	5306
62	354	5269
63	357	5234
64	361	5197
65	364	5157
66	367	5115
67	370	5077
68	374	5053
69	377	5020
70	381	4994
71	384	4960
72	388	4937
73	392	4910
74	396	4884
75	399	4856
76	402	4826
77	405	4788
78	407	4750
79	409	4714
80	411	4672
81	413	4626
82	414	4574
83	415	4533
84	417	4494
85	418	4452
86	420	4409
87	421	4367
88	422	4328
89	424	4289
90	425	4252
91	426	4211
92	427	4171
93	428	4133
94	429	4094
95	430	4057
96	431	4020
97	433	3985
98	433	3945
99	434	3906
100	434	3868
101	435	3832
102	436	3797
103	436	3762
104	437	3726
105	437	3692
106	438	3659
107	439	3626
108	439	3594
109	440	3563
110	441	3531
111	441	3502
112	442	3472
113	443	3443
114	443	3414
115	444	3385
116	444	3357
117	445	3330
118	446	3302
119	446	3276
120	447	3250
121	447	3223
122	448	3199
123	449	3175
124	450	3150
125	451	3128
126	451	3103
127	452	3080
128	452	3056
129	453	3034
130	453	3011
131	454	2989
132	455	2968
133	456	2947
134	456	2925
135	457	2905
136	457	2884
137	458	2864
138	459	2844
139	459	2824
140	460	2804
141	460	2784
142	461	2765
143	462	2746
144	463	2730
145	463	2712
146	464	2696
147	465	2679
148	466	2663
149	467	2646
150	467	2630
151	468	2613
152	469	2597
153	470	2581
154	470	2565
155	471	2550
156	472	2534
157	472	2519
158	473	2504
159	474	2489
160	474	2475
161	475	2460
162	476	2447
163	477	2434
164	478	2423
165	479	2410
166	480	2397
167	481	2382
168	481	2369
169	482	2355
170	483	2341
171	483	2328
172	484	2315
173	485	2302
174	486	2291
175	486	2279
176	487	2266
177	488	2254
178	488	2242
179	489	2230
180	490	2219
181	491	2207
182	491	2195
183	492	2184
184	493	2173
185	494	2162
186	494	2150
187	495	2140
188	496	2129
189	496	2118
190	497	2108
191	498	2097
192	499	2087
193	499	2077
194	500	2067
195	501	2058
196	502	2047
197	503	2038
198	503	2028
199	504	2017
200	505	2007
201	505	1997
202	506	1987
203	506	1977
204	507	1969
205	508	1959
206	509	1951
207	510	1942
208	510	1933
209	511	1923
210	512	1914
211	512	1906
212	513	1897
213	514	1888
214	514	1879
215	515	1871
216	516	1862
217	516	1854
218	517	1845
219	518	1837
220	519	1829
221	520	1822
222	520	1814
223	521	1807
224	522	1800
225	523	1794
226	524	1787
227	526	1781
228	526	1774
229	528	1767
230	528	1760
231	530	1754
232	531	1748
233	532	1742
234	533	1737
235	534	1730
236	535	1724
237	536	1717
238	537	1711
239	538	1705
240	539	1699
241	540	1694
242	541	1687
243	542	1681
244	543	1675
245	544	1669
246	545	1663
247	546	1657
248	547	1651
249	548	1645
250	549	1638
251	549	1632
252	550	1626
253	552	1621
254	552	1615
255	554	1610
256	554	1604
257	555	1598
258	556	1592
259	557	1586
260	558	1580
261	558	1574
262	559	1568
263	560	1562
264	561	1556
265	561	1550
266	562	1545
267	563	1539
268	564	1533
269	565	1528
270	566	1523
271	567	1519
272	568	1514
273	569	1509
274	570	1504
275	571	1498
276	572	1493
277	572	1487
278	573	1481
279	574	1477
280	575	1472
281	576	1467
282	577	1462
283	578	1457
284	578	1451
285	579	1446
286	580	1440
287	580	1435
288	581	1431
289	582	1425
290	583	1421
291	584	1416
292	585	1411
293	585	1406
294	586	1401
295	586	1395
296	587	1390
297	588	1385
298	588	1380
299	589	1376
300	590	1370
301	591	1365
302	591	1361
303	592	1356
304	593	1351
305	593	1346
306	594	1341
307	595	1337
308	595	1332
309	596	1328
310	597	1323
311	598	1319
312	598	1314
313	599	1310
314	600	1306
315	601	1301
316	602	1297
317	602	1292
318	603	1288
319	604	1284
320	605	1280
321	605	1275
322	606	1271
323	607	1266
324	607	1262
325	608	1258
326	609	1254
327	609	1249
328	610	1245
329	611	1240
330	611	1236
331	612	1232
332	613	1228
333	613	1224
334	614	1220
335	615	1216
336	615	1211
337	616	1207
338	617	1203
339	617	1199
340	618	1195
341	619	1191
342	620	1187
343	620	1183
344	621	1179
345	621	1175
346	622	1171
347	623	1167
348	623	1163
349	624	1159
350	625	1155
351	625	1151
352	626	1148
353	627	1144
354	628	1142
355	629	1138
356	630	1134
357	630	1131
358	631	1127
359	631	1123
360	632	1119
361	633	1116
362	633	1112
363	634	1109
364	635	1105
365	636	1101
366	636	1098
367	637	1094
368	638	1091
369	638	1087
370	639	1084
371	640	1080
372	640	1077
373	641	1074
374	642	1070
375	643	1067
376	643	1063
377	644	1060
378	645	1056
379	645	1053
380	646	1050
381	647	1046
382	647	1043
383	648	1039
384	648	1036
385	649	1033
386	650	1030
387	651	1027
388	651	1023
389	652	1020
390	652	1016
391	653	1013
392	654	1010
393	654	1006
394	655	1004
395	656	1000
396	656	997
397	657	994
398	658	991
399	658	988
400	659	985
401	660	981
402	660	978
403	661	975
404	661	972
405	662	969
406	663	966
407	663	963
408	664	960
409	665	957
410	666	954
411	666	951
412	667	948
413	668	945
414	668	942
415	669	939
416	669	936
417	670	933
418	671	930
419	671	927
420	672	924
421	673	922
422	673	919
423	674	916
424	675	913
425	675	910
426	676	907
427	677	904
428	677	902
429	678	899
430	679	897
431	680	894
432	680	891
433	681	888
434	681	885
435	682	883
436	683	880
437	683	877
438	684	874
439	685	871
440	685	869
441	686	866
442	687	863
443	687	861
444	688	858
445	689	856
446	689	853
447	690	850
448	691	848
449	691	845
450	692	842
451	693	840
452	693	837
453	694	834
454	695	832
455	695	829
456	696	827
457	697	824
458	697	822
459	698	819
460	698	817
461	699	814
462	699	811
463	700	809
464	701	806
465	702	804
466	702	802
467	703	799
468	703	797
469	704	794
470	705	792
471	705	789
472	706	787
473	707	784
474	707	782
475	708	779
476	709	777
477	709	775
478	710	772
479	711	770
480	711	767
481	712	765
482	712	763
483	713	760
484	714	758
485	714	755
486	715	753
487	716	751
488	716	748
489	717	746
490	718	744
491	718	742
492	719	739
493	720	737
494	720	735
495	721	732
496	721	730
497	722	728
498	723	726
499	723	723
500	724	721
501	725	719
502	726	717
503	726	715
504	727	712
505	728	710
506	728	708
507	729	706
508	730	704
509	730	702
510	731	700
511	732	697
512	733	695
513	733	693
514	734	691
515	735	689
516	735	687
517	736	685
518	737	683
519	737	680
520	738	678
521	739	676
522	739	674
523	740	672
524	741	670
525	741	668
526	742	666
527	742	664
528	743	661
529	744	659
530	744	657
531	745	655
532	745	653
533	746	651
534	747	649
535	747	647
536	748	645
537	749	643
538	749	641
539	750	639
540	751	637
541	751	635
542	752	633
543	753	631
544	753	629
545	754	627
546	755	625
547	756	623
548	756	621
549	757	619
550	757	617
551	758	615
552	759	613
553	759	611
554	760	609
555	760	607
556	761	605
557	762	603
558	763	602
559	763	600
560	764	598
561	765	596
562	766	594
563	767	593
564	767	591
565	768	589
566	768	587
567	769	585
568	770	583
569	771	581
570	771	579
571	772	578
572	773	576
573	773	574
574	774	572
575	775	570
576	776	568
577	776	567
578	777	565
579	778	563
580	778	561
581	779	559
582	780	557
583	780	556
584	781	554
585	781	552
586	782	550
587	783	548
588	783	547
589	784	545
590	785	543
591	786	541
592	786	540
593	787	538
594	788	536
595	788	534
596	789	532
597	789	531
598	790	529
599	791	527
600	791	525
601	792	523
602	793	522
603	793	520
604	794	518
605	795	516
606	795	515
607	796	513
608	796	511
609	797	509
610	798	508
611	798	506
612	799	504
613	800	503
614	800	501
615	801	499
616	802	497
617	802	496
618	803	494
619	803	492
620	804	491
621	805	489
622	806	487
623	806	486
624	807	484
625	808	482
626	808	481
627	809	479
628	810	477
629	810	476
630	811	474
631	811	472
632	812	471
633	813	469
634	813	467
635	814	466
636	815	464
637	815	462
638	816	461
639	817	459
640	817	458
641	818	456
642	819	454
643	819	453
644	820	451
645	821	449
646	821	448
647	822	446
648	823	445
649	823	443
650	824	442
651	825	440
652	826	438
653	826	437
654	827	435
655	828	434
656	828	432
657	829	431
658	830	429
659	830	427
660	831	426
661	831	424
662	832	423
663	833	421
664	833	420
665	834	418
666	835	416
667	835	415
668	836	413
669	837	412
670	837	410
671	838	409
672	839	407
673	839	406
674	840	404
675	841	403
676	841	401
677	842	400
678	842	398
679	843	396
680	844	395
681	844	393
682	845	392
683	846	390
684	846	389
685	847	387
686	848	386
687	848	384
688	849	383
689	849	381
690	850	380
691	851	378
692	851	377
693	852	375
694	853	374
695	853	372
696	854	371
697	855	369
698	855	368
699	856	366
700	856	365
701	857	364
702	858	362
703	858	361
704	859	359
705	860	358
706	861	356
707	861	355
708	862	353
709	863	352
710	863	351
711	864	349
712	864	348
713	865	346
714	866	345
715	866	343
716	867	342
717	868	340
718	868	339
719	869	338
720	869	336
721	870	335
722	871	333
723	871	332
724	872	330
725	873	329
726	873	328
727	874	326
728	875	325
729	875	323
730	876	322
731	876	321
732	877	319
733	878	318
734	878	316
735	879	315
736	880	314
737	880	312
738	881	311
739	882	309
740	882	308
741	883	307
742	884	305
743	884	304
744	885	303
745	886	301
746	886	300
747	887	298
748	888	297
749	888	296
750	889	294
751	890	293
752	890	292
753	891	290
754	891	289
755	892	288
756	893	286
757	893	285
758	894	283
759	894	282
760	895	281
761	896	279
762	896	278
763	897	277
764	898	275
765	898	274
766	899	273
767	900	271
768	900	270
769	901	269
770	902	267
771	902	266
772	903	265
773	904	263
774	904	262
775	905	261
776	906	260
777	906	258
778	907	257
779	907	256
780	908	254
781	909	253
782	909	252
783	910	250
784	911	249
785	911	248
786	912	246
787	913	245
788	913	244
789	914	243
790	915	241
791	916	240
792	917	239
793	917	238
794	918	236
795	919	235
796	919	234
797	920	233
798	921	231
799	922	230
800	922	229
801	923	227
802	923	226
803	924	225
804	925	224
805	925	222
806	926	221
807	927	220
808	927	219
809	928	217
810	929	216
811	929	215
812	930	214
